huwplace	lat	lng	all_bg	bedu_bg	bedu_pct	dist_du_be	be_bg	be_pct	dist_be	du_bg	du_pct	dist_du	be_or_du
Veen	51.77750	5.108330	1898	8	0.42	32.65	2	0.11	32.65	6	0.32	58.16	du
Veghel	51.61667	5.548610	9260	85	0.92	31.11	23	0.25	35.53	62	0.67	31.11	du
Veldhoven	51.41833	5.402780	3846	89	2.31	14.60	48	1.25	14.60	41	1.07	52.10	be
Velp	51.74833	5.718060	858	6	0.70	16.12	3	0.35	52.29	3	0.35	16.12	du
Vessem	51.42083	5.288890	2082	9	0.43	12.53	7	0.34	12.53	2	0.10	58.00	be
Vierlingsbeek	51.59500	6.009720	2542	66	2.60	6.53	3	0.12	47.78	63	2.48	6.53	du
Vlierden	51.44500	5.758330	948	4	0.42	23.68	2	0.21	23.68	2	0.21	29.50	du
Vlijmen	51.69750	5.216670	6414	31	0.48	26.49	16	0.25	26.49	15	0.23	50.99	be
Vrijhoeve-Capelle	51.67266	5.014400	714	4	0.56	20.67	1	0.14	20.67	3	0.42	65.17	du
Vught	51.65333	5.287500	8330	134	1.61	24.86	68	0.82	24.86	66	0.79	46.97	be
Waalre	51.38667	5.444440	2424	71	2.93	10.25	36	1.49	10.25	35	1.44	51.49	be
Waalwijk	51.68250	5.070830	8536	115	1.35	21.84	50	0.59	21.84	65	0.76	61.17	du
Wanroij	51.65750	5.818060	2270	22	0.97	13.02	0	0.00	45.40	22	0.97	13.02	du
Waspik	51.68667	4.944440	5070	86	1.70	23.06	45	0.89	23.06	41	0.81	69.77	be
Werkendam	51.81000	4.894440	4912	22	0.45	34.89	14	0.29	34.89	8	0.16	73.08	be
Westerhoven	51.33250	5.395830	1142	33	2.89	6.79	30	2.63	6.79	3	0.26	57.40	be
Wijk en Aalburg	51.75482	5.131560	3782	3	0.08	30.47	3	0.08	30.47	0	0.00	56.49	be
Willemstad	51.69167	4.438890	3800	25	0.66	23.94	9	0.24	23.94	16	0.42	104.44	du
Woensdrecht	51.42897	4.303550	5344	289	5.41	5.78	237	4.43	5.78	52	0.97	119.18	be
Woensel	51.47561	5.475480	7720	171	2.22	19.65	136	1.76	19.65	35	0.45	44.15	be
Woudrichem	51.81500	5.001390	3416	21	0.61	36.52	8	0.23	36.52	13	0.38	65.82	du
Wouw	51.52167	4.390280	6586	225	3.42	6.91	220	3.34	6.91	5	0.08	110.66	be
Zeeland	51.69750	5.676390	3156	15	0.48	19.73	2	0.06	46.09	13	0.41	19.73	du
Zeelst	51.42421	5.415660	1842	12	0.65	14.85	9	0.49	14.85	3	0.16	50.99	be
Zesgehuchten	51.41667	5.550000	1400	8	0.57	13.69	4	0.29	13.69	4	0.29	43.46	du
Zevenbergen	51.64500	4.604170	10884	62	0.57	18.65	42	0.39	18.65	20	0.18	93.62	be
Zundert	51.47352	4.641800	8000	694	8.67	3.66	687	8.59	3.66	7	0.09	95.35	be

